IP:PORT, LOSS, DELAY
162.159.195.64:7281,0.00%,153 ms
162.159.195.63:7281,0.00%,153 ms
162.159.195.224:7281,0.00%,153 ms
162.159.195.154:7281,0.00%,154 ms
162.159.195.235:7281,0.00%,155 ms
162.159.195.235:5279,0.00%,156 ms
162.159.192.191:5279,0.00%,156 ms
162.159.195.159:7281,0.00%,157 ms
162.159.195.249:7281,0.00%,157 ms
162.159.192.64:7281,0.00%,157 ms
162.159.192.167:5279,0.00%,158 ms
162.159.195.46:5279,0.00%,158 ms
162.159.195.159:5279,0.00%,158 ms
162.159.195.79:7281,0.00%,159 ms
162.159.195.46:7281,0.00%,159 ms
162.159.195.100:7281,0.00%,159 ms
162.159.195.64:5279,0.00%,159 ms
162.159.195.100:5279,0.00%,159 ms
162.159.195.63:5279,0.00%,160 ms
162.159.192.150:7281,0.00%,160 ms
162.159.195.224:5279,0.00%,160 ms
162.159.195.154:5279,0.00%,161 ms
162.159.195.109:5279,0.00%,161 ms
162.159.195.109:7281,0.00%,162 ms
162.159.195.249:5279,0.00%,162 ms
162.159.195.79:5279,0.00%,165 ms
188.114.96.161:5279,0.00%,191 ms
188.114.96.158:5279,0.00%,191 ms
188.114.96.155:5279,0.00%,191 ms
188.114.97.177:7281,0.00%,191 ms
188.114.96.169:5279,0.00%,191 ms
188.114.96.158:7281,0.00%,191 ms
188.114.96.192:7281,0.00%,192 ms
188.114.99.46:5279,0.00%,192 ms
188.114.96.247:7281,0.00%,192 ms
188.114.97.160:7281,0.00%,192 ms
188.114.96.29:7281,0.00%,192 ms
188.114.97.83:7281,0.00%,192 ms
188.114.96.132:5279,0.00%,192 ms
188.114.96.165:5279,0.00%,192 ms
188.114.99.104:5279,0.00%,192 ms
188.114.98.108:7281,0.00%,192 ms
188.114.96.197:5279,0.00%,192 ms
188.114.99.11:5279,0.00%,192 ms
188.114.97.120:7281,0.00%,192 ms
188.114.97.168:5279,0.00%,192 ms
188.114.96.197:7281,0.00%,192 ms
188.114.99.5:7281,0.00%,193 ms
188.114.97.21:5279,0.00%,193 ms
188.114.98.123:7281,0.00%,193 ms
188.114.99.72:5279,0.00%,193 ms
188.114.99.12:7281,0.00%,193 ms
188.114.99.99:5279,0.00%,193 ms
188.114.99.141:7281,0.00%,193 ms
188.114.97.98:7281,0.00%,193 ms
188.114.99.167:7281,0.00%,193 ms
188.114.98.234:7281,0.00%,193 ms
188.114.99.99:7281,0.00%,193 ms
188.114.99.104:7281,0.00%,193 ms
188.114.97.139:5279,0.00%,193 ms
188.114.97.198:5279,0.00%,193 ms
188.114.98.121:7281,0.00%,193 ms
188.114.99.13:5279,0.00%,193 ms
188.114.99.72:7281,0.00%,193 ms
188.114.99.13:7281,0.00%,193 ms
188.114.97.94:5279,0.00%,193 ms
188.114.97.120:5279,0.00%,193 ms
188.114.97.198:7281,0.00%,193 ms
188.114.98.160:7281,0.00%,193 ms
188.114.99.200:5279,0.00%,193 ms
188.114.98.121:5279,0.00%,193 ms
188.114.97.83:5279,0.00%,194 ms
188.114.98.213:7281,0.00%,194 ms
188.114.97.216:5279,0.00%,194 ms
188.114.99.135:7281,0.00%,194 ms
188.114.97.98:5279,0.00%,194 ms
188.114.99.200:7281,0.00%,195 ms
188.114.96.132:7281,0.00%,198 ms
188.114.96.165:7281,0.00%,198 ms
188.114.96.243:7281,0.00%,198 ms
188.114.96.169:7281,0.00%,198 ms
188.114.96.228:7281,0.00%,198 ms
188.114.97.139:7281,0.00%,198 ms
188.114.96.67:5279,0.00%,198 ms
188.114.96.67:7281,0.00%,198 ms
188.114.96.161:7281,0.00%,198 ms
188.114.96.155:7281,0.00%,198 ms
188.114.97.177:5279,0.00%,198 ms
188.114.96.29:5279,0.00%,199 ms
188.114.97.178:7281,0.00%,199 ms
188.114.97.160:5279,0.00%,199 ms
188.114.97.178:5279,0.00%,199 ms
188.114.96.243:5279,0.00%,199 ms
188.114.98.102:5279,0.00%,199 ms
188.114.99.12:5279,0.00%,199 ms
188.114.99.46:7281,0.00%,199 ms
188.114.97.142:5279,0.00%,199 ms
188.114.96.247:5279,0.00%,199 ms
188.114.97.142:7281,0.00%,199 ms
188.114.99.183:7281,0.00%,199 ms
188.114.98.130:7281,0.00%,199 ms
188.114.98.2:5279,0.00%,199 ms
188.114.98.191:5279,0.00%,199 ms
188.114.98.176:5279,0.00%,199 ms
188.114.97.94:7281,0.00%,199 ms
188.114.98.191:7281,0.00%,199 ms
188.114.97.21:7281,0.00%,199 ms
188.114.98.176:7281,0.00%,199 ms
188.114.98.130:5279,0.00%,199 ms
188.114.98.2:7281,0.00%,199 ms
188.114.98.102:7281,0.00%,199 ms
188.114.98.213:5279,0.00%,199 ms
188.114.97.168:7281,0.00%,200 ms
188.114.98.206:5279,0.00%,200 ms
188.114.97.216:7281,0.00%,200 ms
188.114.99.11:7281,0.00%,200 ms
188.114.98.108:5279,0.00%,200 ms
188.114.98.234:5279,0.00%,200 ms
188.114.98.160:5279,0.00%,200 ms
188.114.99.5:5279,0.00%,200 ms
188.114.99.183:5279,0.00%,200 ms
188.114.98.206:7281,0.00%,200 ms
188.114.99.135:5279,0.00%,200 ms
188.114.98.123:5279,0.00%,200 ms
188.114.99.167:5279,0.00%,200 ms
188.114.97.56:5279,0.00%,200 ms
188.114.99.141:5279,0.00%,200 ms
188.114.96.192:5279,0.00%,200 ms
188.114.97.56:7281,10.00%,273 ms
188.114.96.228:5279,10.00%,281 ms
162.159.192.191:7281,100.00%,1000 ms
162.159.193.200:7281,100.00%,1000 ms
162.159.193.237:7281,100.00%,1000 ms
162.159.193.73:5279,100.00%,1000 ms
162.159.193.177:5279,100.00%,1000 ms
162.159.192.244:7281,100.00%,1000 ms
162.159.204.65:5279,100.00%,1000 ms
162.159.204.28:5279,100.00%,1000 ms
162.159.193.92:5279,100.00%,1000 ms
162.159.204.22:5279,100.00%,1000 ms
162.159.192.243:7281,100.00%,1000 ms
162.159.192.167:7281,100.00%,1000 ms
162.159.204.9:7281,100.00%,1000 ms
162.159.193.152:5279,100.00%,1000 ms
162.159.192.243:5279,100.00%,1000 ms
162.159.204.22:7281,100.00%,1000 ms
162.159.204.246:7281,100.00%,1000 ms
162.159.193.237:5279,100.00%,1000 ms
162.159.193.92:7281,100.00%,1000 ms
162.159.193.164:5279,100.00%,1000 ms
162.159.192.254:7281,100.00%,1000 ms
162.159.193.244:5279,100.00%,1000 ms
162.159.192.254:5279,100.00%,1000 ms
162.159.204.87:5279,100.00%,1000 ms
162.159.193.164:7281,100.00%,1000 ms
162.159.204.246:5279,100.00%,1000 ms
162.159.193.152:7281,100.00%,1000 ms
162.159.193.177:7281,100.00%,1000 ms
162.159.192.105:7281,100.00%,1000 ms
162.159.193.66:7281,100.00%,1000 ms
162.159.204.9:5279,100.00%,1000 ms
162.159.193.200:5279,100.00%,1000 ms
162.159.193.21:7281,100.00%,1000 ms
162.159.192.64:5279,100.00%,1000 ms
162.159.193.244:7281,100.00%,1000 ms
162.159.204.87:7281,100.00%,1000 ms
162.159.193.159:7281,100.00%,1000 ms
162.159.193.23:7281,100.00%,1000 ms
162.159.192.170:5279,100.00%,1000 ms
162.159.193.21:5279,100.00%,1000 ms
162.159.204.28:7281,100.00%,1000 ms
162.159.192.105:5279,100.00%,1000 ms
162.159.193.23:5279,100.00%,1000 ms
162.159.192.86:5279,100.00%,1000 ms
162.159.192.0:5279,100.00%,1000 ms
162.159.193.252:5279,100.00%,1000 ms
162.159.192.150:5279,100.00%,1000 ms
162.159.193.73:7281,100.00%,1000 ms
162.159.192.170:7281,100.00%,1000 ms
162.159.192.214:7281,100.00%,1000 ms
162.159.192.214:5279,100.00%,1000 ms
162.159.193.159:5279,100.00%,1000 ms
162.159.192.244:5279,100.00%,1000 ms
162.159.193.66:5279,100.00%,1000 ms
162.159.204.65:7281,100.00%,1000 ms
162.159.192.0:7281,100.00%,1000 ms
162.159.192.86:7281,100.00%,1000 ms
162.159.193.36:5279,100.00%,1000 ms
162.159.204.217:5279,100.00%,1000 ms
162.159.204.217:7281,100.00%,1000 ms
162.159.204.218:7281,100.00%,1000 ms
162.159.204.218:5279,100.00%,1000 ms
162.159.193.252:7281,100.00%,1000 ms
162.159.204.130:5279,100.00%,1000 ms
162.159.204.130:7281,100.00%,1000 ms
162.159.204.123:7281,100.00%,1000 ms
162.159.193.36:7281,100.00%,1000 ms
162.159.204.201:7281,100.00%,1000 ms
162.159.204.201:5279,100.00%,1000 ms
162.159.204.123:5279,100.00%,1000 ms
